0.005,0.006,0.007,0.008,0.009,0.01,0.011,0.012,0.013,0.014,0.015,0.016,0.017,0.018,0.019,0.02
(-5.6458742032241575e-09-4.638780888179761e-09j),(4.432500426953076e-08+1.4375307449561182e-07j),(-1.7234555187250087e-09-9.840680047189091e-09j),(3.641047094972225e-06+3.3354762913512495e-06j),(-1.105940370240221e-08+1.5302310557265788e-08j),(-1.2351122802288707e-11+3.407030152657803e-12j),(-4.5331506699446406e-10+4.1033144238449424e-10j),(3.2950420055726237e-12+1.2654318567640885e-11j),(2.4710947860598288e-06-2.467817348137948e-06j),(8.658349187659408e-13+1.194801716078859e-11j),(-2.493429434917908e-12-2.473119088823318e-12j),(8.997430266254243e-06-7.32104993385054e-06j),(2.907115915401435e-12+1.18582016482685e-11j),(-1.386800464892835e-10+8.298886466494881e-11j),(-7.893583324599575e-12-5.082572896042059e-12j),(-5.947242706331436e-10-8.65282024321993e-10j)
(-3.0936960280628068e-09-2.6456411278738735e-09j),(2.965495362320942e-08+1.0801470564920073e-07j),(-1.3976758038946161e-09-8.918263787912271e-09j),(3.7082273082998737e-06+3.495499064421578e-06j),(-1.3060528590813083e-08+1.724071414767972e-08j),(-1.581920561206917e-11+3.4491710803331058e-12j),(-6.930098663782911e-10+5.813272866258224e-10j),(4.391086184002023e-12+2.200753699129695e-11j),(7.409452698891317e-06-5.714827035078034e-06j),(-4.309865322802725e-11+7.457728010139673e-12j),(2.9116766218598007e-12-2.838279652589829e-12j),(1.2426091250610483e-06+8.573305327041361e-07j),(-4.0097731181954654e-13+4.144405172846433e-12j),(-9.039502628739923e-11+4.899141282286575e-11j),(-6.311590172148195e-12-5.120274736097885e-12j),(-4.019093377913782e-10-5.089818338368917e-10j)
(1.1931920147343786e-10-1.417781343864516e-10j),(9.111041681166565e-09+5.258209094919342e-08j),(-7.82699807447227e-10-6.5087118257056605e-09j),(3.2123108237718293e-06+3.1427628199987786e-06j),(-1.3294091307530668e-08+1.6770906410752837e-08j),(-1.7037887187164036e-11+3.0138668512369236e-12j),(-8.615954076610825e-10+6.742891393174095e-10j),(4.986113954447616e-12+2.953750659173714e-11j),(1.1644352749281015e-05-8.317919220186625e-06j),(-8.24918958839468e-11+1.706798784978925e-12j),(7.892150502653904e-12-2.8776233469706674e-12j),(-6.174238271991616e-06+8.948940124980482e-06j),(-2.5516240493266595e-12-3.704753070259941e-12j),(-2.8195807561105283e-11+6.122535587388417e-12j),(-4.252915781257107e-12-4.3360764629366975e-12j),(-1.930614542281949e-10-1.8099613569729715e-10j)
(3.3330692064271897e-09+2.3622243559091768e-09j),(-1.3659683861412916e-08-1.2496784591057425e-08j),(1.945901422236198e-14-3.017953973936653e-09j),(2.226090195051533e-06+2.3338023691718723e-06j),(-1.1679066280806216e-08+1.4025150174940396e-08j),(-1.6097347896610057e-11+2.2156520068936906e-12j),(-9.33569314897205e-10+6.830131018686499e-10j),(4.721152111571408e-12+3.460493794233742e-11j),(1.4807811099689451e-05-9.938181782274973e-06j),(-1.1285108025446112e-10-2.3640269903392008e-12j),(1.2617711297135066e-11-2.353628579614126e-12j),(-1.2977401604392924e-05+1.6318555131037264e-05j),(-4.060518578722219e-12-1.1123745480213226e-11j),(4.2169356078893144e-11-4.24035635578851e-11j),(-1.6082267160587728e-12-2.574366772199045e-12j),(1.9333503580627743e-11+6.935107535662586e-11j)
(5.874752648743065e-09+4.370495567293211e-09j),(-3.4386341974385423e-08-7.531114155332983e-08j),(7.867627279980173e-10+9.6495612714839e-10j),(8.918157967360553e-07+1.183456595853058e-06j),(-8.443825656932335e-09+9.381189540412321e-09j),(-1.314584110501386e-11+1.3245507743484019e-12j),(-8.91966611393409e-10+6.157997512478992e-10j),(4.0362252156539885e-12+3.6146578344104054e-11j),(1.6570196788371916e-05-1.0442224046903249e-05j),(-1.3113294383491472e-10-3.082611899919362e-12j),(1.695622013684956e-11-1.3464421653485591e-12j),(-1.900463924216221e-05+2.2394865249592934e-05j),(-5.4200651739611496e-12-1.7231382759837646e-11j),(1.1028633467259487e-10-9.094231106240316e-11j),(1.364228920536187e-12+1.1553789694527425e-14j),(2.2778387596889985e-10+2.385952586637796e-10j)
(7.209647652623817e-09+5.488341990113862e-09j),(-4.8934514148399496e-08-1.2423754120158448e-07j),(1.4361319239892367e-09+4.777168532575643e-09j),(-5.926188946233212e-07-1.4402888984690824e-07j),(-4.092462739707326e-09+3.410307050652849e-09j),(-8.474035837321972e-12+3.7452521436102323e-13j),(-7.378332799735658e-10+4.851019748208869e-10j),(2.932443038600228e-12+3.3104283089276645e-11j),(1.6685797903184907e-05-9.887969258966372e-06j),(-1.3627175024158844e-10-1.819965114565849e-12j),(2.0575718401047778e-11-2.0869792753483223e-13j),(-2.398792658010507e-05+2.6688842488744708e-05j),(-7.090621544950926e-12-2.239647403806641e-11j),(1.6532206696708805e-10-1.3169410835990696e-10j),(4.732660294201352e-12+2.9161157094792772e-12j),(4.2668394660509504e-10+3.646874664832303e-10j)
(7.0584053834326415e-09+5.4928904130695006e-09j),(-5.42888686333038e-08-1.5022240231029155e-07j),(1.8576207394628972e-09+7.793410858176116e-09j),(-1.998650385968566e-06-1.4507686582720172e-06j),(7.237337039339784e-10-3.131486254609796e-09j),(-2.954608071987887e-12-6.029862032154418e-13j),(-4.942654070464554e-10+3.0242153982380537e-10j),(1.3429456237304784e-12+2.5990432346097777e-11j),(1.5075941671093138e-05-8.43087199432878e-06j),(-1.2970209819537666e-10-1.1248526408914121e-12j),(2.2558774378564798e-11+7.960561099529396e-13j),(-2.7443441390395213e-05+2.8821971695282516e-05j),(-9.460121383040165e-12-2.5883438172584507e-11j),(2.0025847705481952e-10-1.5865730898886448e-10j),(8.00422226269082e-12+5.359073326257934e-12j),(6.100208800945034e-10+5.021031635234159e-10j)
(5.450461370364868e-09+4.385374355233565e-09j),(-4.931651615452366e-08-1.485763156496864e-07j),(1.995037379049084e-09+9.522744933695935e-09j),(-3.1046127576648365e-06-2.5348345487332474e-06j),(5.3539265690196675e-09-9.33816882205649e-09j),(2.9294937817571512e-12-1.8939701780302695e-12j),(-1.992634677267978e-10+7.889978086144236e-11j),(-4.596584015838569e-13+1.5974269631653617e-11j),(1.189354458100063e-05-6.228107888178462e-06j),(-1.1292813909095829e-10-2.807631705189609e-12j),(2.2121250605658877e-11+1.869585600832872e-12j),(-2.876166985470695e-05+2.8568924862639884e-05j),(-1.163083522896409e-11-2.7900821067378166e-11j),(2.1416011083293638e-10-1.6867414060692254e-10j),(1.0853994895555732e-11+6.7963039548377e-12j),(7.679059702658374e-10+6.901326382925469e-10j)
(2.706881686102619e-09+2.401125844191812e-09j),(-3.492557889636821e-08-1.197808443904253e-07j),(1.8059132739205258e-09+9.680516580094705e-09j),(-3.736272347986972e-06-3.22889515225906e-06j),(9.239525666925006e-09-1.427279927205355e-08j),(8.231619086704953e-12-2.9380071004794342e-12j),(1.0679338081026145e-10-1.664187382426555e-10j),(-2.2036725512630494e-12+4.545747341182648e-12j),(7.515422093825274e-06-3.4123026452894177e-06j),(-8.735382560212183e-11-7.28788730163012e-12j),(1.889640547365794e-11+2.5017907300915794e-12j),(-2.746340135950163e-05+2.5901048317576626e-05j),(-1.2800808459083603e-11-2.751644472706707e-11j),(2.1184744499849581e-10-1.62952217474837e-10j),(1.2801203720309996e-11+7.484119298178751e-12j),(8.871950786778275e-10+9.284461821183932e-10j)
(-6.19779575727018e-10-3.849449083829036e-11j),(-1.3695549621858024e-08-6.922763862014179e-08j),(1.2801510199783998e-09+8.235061781582116e-09j),(-3.7969257769807633e-06-3.433182410118786e-06j),(1.1929295460776997e-08-1.7169357030385028e-08j),(1.251509540182183e-11-3.70548278329328e-12j),(3.91513724299598e-10-4.028711299740282e-10j),(-4.0347049801678664e-12-6.642212885964371e-12j),(2.456850910727325e-06-1.4500327225499773e-07j),(-5.414966304140696e-11-1.3039911096340876e-11j),(1.3271412556167539e-11+2.8452119264065456e-12j),(-2.347543622040573e-05+2.1011285751711375e-05j),(-1.2061122680956068e-11-2.527500952632875e-11j),(2.0008862114395512e-10-1.4536765360686348e-10j),(1.3390629422989228e-11+7.129235526298425e-12j),(9.524949088921965e-10+1.1704768537313564e-09j)
(-3.849620079916515e-09-2.4324900467407295e-09j),(1.0649573329633941e-08-6.1374346248654465e-09j),(4.804969382957454e-10+5.420698564874087e-09j),(-3.2793671413335895e-06-3.1292551726383844e-06j),(1.3064225579280598e-08-1.761301501428687e-08j),(1.5011732533615454e-11-3.988854677906426e-12j),(6.318707382611798e-10-5.928345723168293e-10j),(-5.390572605530382e-12-1.672839764689931e-11j),(-2.743323433779172e-06+3.3072466878607184e-06j),(-1.5123849900716954e-11-1.6928855898099364e-11j),(6.3666245970401705e-12+2.83156021174117e-12j),(-1.7254213958226185e-05+1.4308218512945096e-05j),(-9.360576363408895e-12-2.0684840904241617e-11j),(1.8406931453602513e-10-1.2102655514436923e-10j),(1.2726104087295566e-11+6.2130200035224005e-12j),(9.494542250869844e-10+1.3405156185200415e-09j)
(-6.30902907703179e-09-4.307519873090026e-09j),(3.370905295438325e-08+5.803422080840902e-08j),(-4.4503130383058513e-10+1.7056874320291504e-09j),(-2.2612343573131007e-06-2.373023717889235e-06j),(1.2424554478534828e-08-1.5604958825009994e-08j),(1.5823325450236563e-11-3.481217644380558e-12j),(8.092015253920174e-10-7.040660525935012e-10j),(-6.4401431851490314e-12-2.494286847732081e-11j),(-7.60395046470493e-06+6.551939410166075e-06j),(2.753438350580331e-11-1.675719090700646e-11j),(-4.3515220554756976e-13+2.3030655473457075e-12j),(-9.670268190160013e-06+6.376617804746059e-06j),(-4.919238795413108e-12-1.4574953676097735e-11j),(1.6400973888604809e-10-9.256494961087037e-11j),(1.0828454939388881e-11+4.833254276318046e-12j),(8.693260179409811e-10+1.3647918941414077e-09j)
(-7.477281643818692e-09-5.302194506067131e-09j),(5.101720018752088e-08+1.1153614991032776e-07j),(-1.3090714325816103e-09-2.2862452970707365e-09j),(-8.909193126537008e-07-1.2779113733347107e-06j),(1.0038214125431586e-08-1.1484246096548837e-08j),(1.4799325231494483e-11-2.4757338938594476e-12j),(9.033965323005272e-10-7.215229470853501e-10j),(-6.591011354791782e-12-3.1164249776016883e-11j),(-1.1720647319546216e-05+9.14150651987385e-06j),(6.897788794949262e-11-1.2490954062302211e-11j),(-6.432420388879531e-12+1.891511197131467e-12j),(-1.7108131279858012e-06-2.0902923232054207e-06j),(-1.5828691881502573e-13-7.2380463812176095e-12j),(1.3625575736427445e-10-6.018867689118783e-11j),(7.490504287220464e-12+3.737468537921287e-12j),(7.139497115829749e-10+1.2062126036376909e-09j)
