0.005,0.006,0.007,0.008,0.009,0.01,0.011,0.012,0.013,0.014,0.015,0.016,0.017,0.018,0.019,0.02
(-2.770477149908787e-13-4.386487471656504e-13j),(-3.192494520856262e-13+1.3622769381720063e-11j),(1.6053686733448632e-12-1.5378094083416002e-12j),(3.4179758481578817e-12+1.0246191978226061e-09j),(8.564398634617066e-13-7.350277765980568e-12j),(-3.7668942159906654e-11+5.123272640476518e-11j),(-2.104218745760946e-10-5.292061346029675e-12j),(-1.2887899709612563e-10-5.0251201565505357e-11j),(3.6944485492784894e-09+7.784082434793239e-10j),(-7.512773456738923e-11-2.1893026773540293e-10j),(-1.6013947777841403e-10-4.548118908540998e-12j),(1.844688048675098e-08-6.607240841556846e-09j),(1.2141695161720537e-10-1.1268803309828017e-10j),(-2.1473271512996167e-10+7.800465100485885e-11j),(1.9382485567990597e-11-1.1409598399139723e-10j),(-1.8436254515776577e-10-6.467939170777287e-11j)
(-2.2487323310717063e-13+5.696322366499245e-14j),(-5.476496315205999e-13+1.5943378446575617e-11j),(1.8841190520801986e-12-1.2926866385592842e-12j),(-6.375150077646343e-11+1.410209172526981e-09j),(2.2517119926245053e-12-1.056843386184257e-11j),(-2.8945283655763443e-11+2.358134557594992e-11j),(-1.759710277026305e-10-2.29073947802423e-11j),(-1.0716711550216969e-10-5.32775647524382e-11j),(-1.5971514964952766e-10+9.935344563625134e-10j),(-6.332151357097996e-11-2.3570156642772063e-10j),(-1.7689520925935382e-10-1.7317306469513264e-11j),(1.2714196873255226e-08-3.3507704939757877e-09j),(1.6749656619937243e-10-1.2954238795608776e-10j),(-3.160708221124034e-10+7.511697890132492e-11j),(5.0174505685230496e-11-1.6294194068295083e-10j),(-2.9036169414065764e-10-1.9413659516869014e-10j)
(-1.664961904400847e-13+3.697820796443225e-13j),(-1.048111153551972e-12+1.61016045559712e-11j),(1.7227308528734838e-12-8.314471920698604e-13j),(-1.312641249550122e-10+1.626261512868316e-09j),(3.445887371683082e-12-1.2325157180185743e-11j),(-1.4445368803260692e-11-9.213964853127286e-12j),(-1.1009654847450739e-10-3.838798314013265e-11j),(-6.659245604350883e-11-4.8211136757258755e-11j),(-4.018841322870183e-09+1.1241703592052405e-09j),(-4.0020792064002014e-11-2.1836236856720719e-10j),(-1.6849049616019902e-10-2.9140481892181514e-11j),(5.99794787301663e-09+5.432391243282627e-11j),(1.9334835306913587e-10-1.2874096351457446e-10j),(-3.806768776603257e-10+6.110889063329236e-11j),(7.639004310034708e-11-1.9273551573997037e-10j),(-3.645289363267375e-10-3.051219037130942e-10j)
(-2.4481872268509167e-13+2.5400094502126873e-13j),(-1.6014768705003909e-12+1.3998389165631094e-11j),(1.423305271526889e-12-2.5673736889628836e-13j),(-1.879396592566109e-10+1.6462551635064374e-09j),(4.072285201384803e-12-1.2843922337470023e-11j),(3.0333866748787304e-12-4.033482710837024e-11j),(-2.4411394151372546e-11-4.805762337787016e-11j),(-1.4181425518160185e-11-3.569281845620635e-11j),(-7.528960224886827e-09+1.140517755434608e-09j),(-8.924542421279375e-12-1.6900938293632217e-10j),(-1.3574401569493603e-10-3.806827761740119e-11j),(-1.23054768196766e-09+3.4045643915087323e-09j),(1.9584014064972876e-10-1.1024988702681509e-10j),(-4.009435625917546e-10+3.735133456214604e-11j),(9.533470322370248e-11-2.0004833490357287e-10j),(-3.9818105147579313e-10-3.8630643128427447e-10j)
(-1.6807723534565159e-13-2.7850714105755583e-14j),(-2.1271743016013887e-12+9.574382282177097e-12j),(6.279180651878431e-13+5.041803980892981e-13j),(-2.2351554119922474e-10+1.4657029365710879e-09j),(4.383811857200929e-12-1.1667077642953239e-11j),(2.017845046381437e-11-6.31055831231199e-11j),(6.58711955194731e-11-4.949610059954854e-11j),(4.0951921096896895e-11-1.7245064879212744e-11j),(-1.0374630836744245e-08+1.0275995282790191e-09j),(2.5097020355613584e-11-9.46518072673798e-11j),(-8.347315088140784e-11-4.2851850598032766e-11j),(-8.433623204561423e-09+6.520368687366147e-09j),(1.7426580996255716e-10-7.62307490255225e-11j),(-3.744990663106619e-10+6.18149792071766e-12j),(1.0464062474601734e-10-1.8366043960085517e-10j),(-3.873861633359378e-10-4.2963654796624123e-10j)
(-1.4664191499133097e-13-3.777481135916019e-13j),(-2.4250188380424167e-12+3.621930640976013e-12j),(-1.6102334269004538e-13+8.899306512209749e-13j),(-2.322473785702833e-10+1.104840139333263e-09j),(4.165810088491031e-12-8.914539271780691e-12j),(3.3786823215480855e-11-7.308416561634711e-11j),(1.4495731164444942e-10-4.1190005176378467e-11j),(8.936649576690851e-11+4.589347694924628e-12j),(-1.2315200382667032e-08+7.894196131524031e-10j),(5.5907298501041807e-11-5.928006254584242e-12j),(-1.8712213742159393e-11-4.224868196655899e-11j),(-1.5063526652580536e-08+9.237599042088734e-09j),(1.311244457185473e-10-3.1316075694015886e-11j),(-3.04133629028276e-10-2.8174419748109904e-11j),(1.035201617850921e-10-1.4540620677879154e-10j),(-3.3294847647933017e-10-4.302652869585916e-10j)
(-2.367158675440612e-13-7.698472501721958e-13j),(-2.375337542355949e-12-2.823989439020282e-12j),(-9.351272522233828e-13+1.2203842388393204e-12j),(-2.1329876821003193e-10+6.061901299071537e-10j),(3.509311596164093e-12-5.0894443604393306e-12j),(4.155095088725971e-11-6.81138469086003e-11j),(1.9873065559362174e-10-2.3953343398815264e-11j),(1.2199646538451508e-10+2.6493083007229164e-11j),(-1.3206000228527197e-08+4.49978393340104e-10j),(7.865525098349963e-11+8.396576798833083e-11j),(4.882710577152568e-11-3.585457151192973e-11j),(-2.0622577835624905e-08+1.1400613564179064e-08j),(7.180960018478241e-11+1.861762469021288e-11j),(-1.9765676124622515e-10-6.147036462600503e-11j),(9.146405588124023e-11-8.973694675016672e-11j),(-2.404201341389656e-10-3.8785257158308005e-10j)
(-1.4617064199063315e-13-9.311138305400206e-13j),(-1.9860356390698194e-12-8.943606174275345e-12j),(-1.5692478781946038e-12+9.4169466952343e-13j),(-1.7116195847260231e-10+3.0798997998121204e-11j),(2.4472142761397984e-12-7.417532983886607e-13j),(4.138987813691636e-11-4.911503837259719e-11j),(2.1782992129054782e-10-5.08731603075876e-13j),(1.3361781434404576e-10+4.4954640322436754e-11j),(-1.3001572323223429e-08+4.895918383055996e-11j),(8.893979607066377e-11+1.6201897531461642e-10j),(1.0944789439728884e-10-2.3895851893318845e-11j),(-2.471530023155326e-08+1.2858200206727425e-08j),(3.2767155667874226e-12+6.676932023996427e-11j),(-6.74926178795514e-11-8.927365498577104e-11j),(6.965113943687663e-11-2.27648575010635e-11j),(-1.1992532696293214e-10-3.0594958072115845e-10j)
(-1.5974634488170287e-13-8.101030858447071e-13j),(-1.361127640144498e-12-1.389507396199424e-11j),(-2.1615924330071916e-12+8.19346117600329e-13j),(-1.1179595131384633e-10-5.498995800400606e-10j),(1.3522418637281148e-12+3.6569568665762645e-12j),(3.334872175309021e-11-1.953891779951255e-11j),(1.985376464963037e-10+2.531561501616307e-11j),(1.221706235618052e-10+5.686057736496949e-11j),(-1.1747140037204753e-08-3.6872630650392045e-10j),(8.464516122707876e-11+2.1689388189703276e-10j),(1.548035728409646e-10-7.69427665178026e-12j),(-2.7079536163057673e-08+1.3471823254401584e-08j),(-6.595237609443202e-11+1.0672937889629571e-10j),(7.116465548215e-11-1.0711440893786584e-10j),(3.988790828016009e-11+4.740465183187102e-11j),(1.5248934876515074e-11-1.9313022968158709e-10j)
(-1.0799752893410898e-13-3.6187685511648793e-13j),(-5.290723538801888e-13-1.6674915762497537e-11j),(-2.712039297822256e-12+4.829484092312463e-13j),(-4.0608165448774986e-11-1.0631404448054522e-09j),(1.5295944358334683e-14+7.504247216015008e-12j),(1.9031402384825575e-11+1.4098542279456813e-11j),(1.4391704490600584e-10+4.862272531277144e-11j),(8.908281982519813e-11+6.025161464031329e-11j),(-9.562165685012976e-09-7.618743447605191e-10j),(6.593182251065964e-11+2.4019623385656956e-10j),(1.7826284350737892e-10+1.0961688377392616e-11j),(-2.7595705305416433e-08+1.3133508529084502e-08j),(-1.2752726451128535e-10+1.3233242483581987e-10j),(2.025634733012326e-10-1.1206453891835694e-10j),(5.29698690900471e-12+1.1236036154160143e-10j),(1.503348406295089e-10-5.96022308500614e-11j)
(-3.29587053391256e-13-4.6701634133668746e-14j),(2.9933436721742764e-13-1.7424574285414034e-11j),(-2.3996613101339014e-12+2.6549392529635124e-13j),(3.684135636597154e-11-1.4458785185472816e-09j),(-1.3963362940030841e-12+1.0290169958462795e-11j),(6.570457771019412e-13+4.5104717969626724e-11j),(6.36776173318379e-11+6.443679252889751e-11j),(4.0171614626580186e-11+5.4088458360735694e-11j),(-6.624302125168141e-09-1.1003781873720752e-09j),(3.540737904133208e-11+2.2840553066388488e-10j),(1.7629380410104393e-10+2.9619660117407174e-11j),(-2.627427569613988e-08+1.1794070271048765e-08j),(-1.7421363548067344e-10+1.404279828465169e-10j),(3.1079937515956553e-10-1.024094169295119e-10j),(-3.0945396675434754e-11+1.6477735139005567e-10j),(2.7023070542872e-10+8.128905896320605e-11j)
